0,1,2
0.1,0.87,0.8782
0.8782,0.877,0.8846
0.8816,0.8772,0.8756
0.8782,0.8782,0.8739
0.8865,0.887,0.889
0.8808,0.8819,0.883
0.8843,0.8795,0.8774
0.1,0.8757,0.8847
0.873,0.8802,0.8793
0.8773,0.8773,0.1
0.1,0.1,0.1
